Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 3036.85,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Badwani,Balwadi,Gram Kata,Pulses,47.22,3190,3220,3204,10-Jul-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,5,4400,4470,4450,19-May-22
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,5,4400,4670,4500,31-Mar-22
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,7.55,3700,3925,3800,21-Nov-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,10.3,3500,3930,3800,16-Nov-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,9.33,3750,3950,3800,07-Nov-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,3.27,3690,3811,3780,14-Oct-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,13.75,3500,3650,3600,30-Aug-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,22.16,3700,3825,3800,29-Aug-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,15.47,3700,3850,3800,28-Aug-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,21.25,3700,3900,3800,27-Aug-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,6.58,3700,3900,3800,26-Aug-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,8.18,3700,3900,3800,24-Aug-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,13.16,3500,3925,3800,22-Aug-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,9.9,3800,3925,3900,13-Aug-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,6.24,3600,3711,3680,05-Aug-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,6.31,3500,3850,3800,30-Jul-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,5.24,3700,3845,3800,22-Jul-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,1.35,4125,4125,4125,10-Jun-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,7.3,4620,4620,4620,06-Jun-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,10.2,4620,4620,4620,05-Jun-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,9.8,4620,4620,4620,31-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,31.9,4620,4620,4620,30-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,33.4,4620,4620,4620,29-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,47.05,4620,4620,4620,28-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,30.45,4620,4620,4620,27-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,2,4620,4620,4620,25-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,28.95,4620,4620,4620,24-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,10.6,4620,4620,4620,23-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,24.2,4620,4620,4620,22-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,30.95,4620,4620,4620,21-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,6.9,4620,4620,4620,20-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,9.9,4620,4620,4620,17-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,35.6,4620,4620,4620,16-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,33.05,4620,4620,4620,15-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,31.67,3800,4620,4620,14-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,31.2,3800,4620,4620,13-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,32.05,3800,4620,4620,11-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,72.04,3900,4620,4620,10-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,56.25,4620,4620,4620,09-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,83.2,4400,4400,4400,08-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,56.25,4400,4400,4400,07-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,32.75,4400,4400,4400,06-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,46.65,4400,4400,4400,04-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,81.2,4400,4400,4400,03-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,81.45,4400,4400,4400,02-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,46.45,4400,4400,4400,01-May-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,69.7,4000,4400,4400,30-Apr-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,13.75,4400,4400,4400,26-Apr-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,0.27,3737,3737,3737,25-Apr-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,3.1,3600,3850,3800,24-Apr-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,0.41,3900,3900,3900,23-Apr-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,1.05,3700,3800,3750,22-Apr-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,0.91,3400,3800,3650,11-Apr-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,0.91,3400,3800,3650,10-Apr-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,2.26,3600,3750,3700,09-Apr-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,2.2,3600,3800,3750,05-Apr-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,6.47,3700,3800,3750,29-Mar-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,9.06,3600,3800,3700,28-Mar-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,9.86,3700,3800,3750,27-Mar-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,13.99,3500,3675,3600,26-Mar-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,5.58,3500,3600,3550,25-Mar-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,4.28,3400,3600,3500,22-Mar-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,6.22,3600,3800,3700,20-Mar-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,0.24,3551,3551,3551,19-Mar-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,1.92,3200,3600,3400,18-Mar-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,0.28,3500,3560,3500,12-Mar-19
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,0.32,4011,4011,4011,16-Nov-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,0.16,4000,4000,4000,12-Nov-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,0.44,3600,3600,3600,20-Oct-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,47.3,4250,4250,4250,09-Jun-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,68.5,4250,4250,4250,08-Jun-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,62.1,4250,4250,4250,07-Jun-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,116.5,4250,4250,4250,06-Jun-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,99.7,4250,4250,4250,05-Jun-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,297.5,4250,4250,4250,04-Jun-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,23.7,4250,4250,4250,02-Jun-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,238.3,4250,4250,4250,31-May-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,142.1,4250,4250,4250,30-May-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,269.6,4250,0,4250,29-May-18
Madhya Pradesh,Mandsaur,Garoth,Chennangi Dal,Pulses,297.5,4250,4250,4250,28-May-18
